,station,do,ph,co,bod,na,tc,wqi
167,3025.0,6.7,7.0,461.0,2.5,0.1,51.0,87.66
168,3026.0,6.6,6.2,69.0,2.5,0.1,38.0,77.68
169,3027.0,6.8,6.9,241.0,2.5,0.1,48.0,90.34
170,3028.0,6.5,6.6,159.0,2.4,0.2,41.0,83.92000000000002
171,3029.0,6.6,6.7,170.0,2.5,0.2,34.0,87.22000000000001
172,3023.0,0.9,7.6,2039.0,104.5,0.9,511090873.0,28.66
173,1885.0,6.7,7.3,183.0,1.8965,0.516,468.0,88.2
174,1023.0,5.8,7.2,640.0,6.0,4.3,4073.0,71.74000000000001
175,1024.0,4.8,7.6,1090.0,22.0,3.6,52500.0,50.199999999999996
176,1295.0,5.5,7.3,705.0,10.0,5.0,5433.0,67.06
177,1473.0,5.1,7.4,1375.0,23.7,5.9,50333.0,55.82
178,1698.0,5.5,7.4,745.0,10.0,6.1,29333.0,55.82
179,1699.0,5.0,7.6,975.0,16.3,6.1,21667.0,50.199999999999996
180,1700.0,4.9,7.7,1385.0,27.5,7.7,72000.0,50.199999999999996
181,1701.0,5.0,7.3,1067.0,19.3,6.2,39533.0,50.199999999999996
182,1702.0,5.3,7.2,970.0,13.3,5.9,7133.0,67.06
183,1703.0,4.9,7.7,1418.0,21.0,4.2,49500.0,50.199999999999996
184,1704.0,4.1,7.5,1015.0,23.0,6.1,57500.0,50.199999999999996
185,1705.0,4.8,7.4,854.0,17.0,4.7,38000.0,50.199999999999996
186,1025.0,6.7,8.2,183.0,19.8,0.0,468.0,78.84
187,1026.0,6.7,7.9,183.0,18.2,0.0,468.0,78.84
188,1718.0,4.0,6.8,370.0,3.0,0.8,9.0,73.12
189,1871.0,7.8,7.8,376.0,1.3,0.4,17.0,93.28
190,2624.0,7.7,7.7,354.0,1.3,0.3,22.0,93.28
191,2625.0,7.6,7.9,344.0,1.6,0.4,22.0,93.28
192,1884.0,6.7,7.2,183.0,88.0,0.0,468.0,74.16
193,1870.0,4.4,7.1,694.0,41.0,1.2,224.0,67.06
194,2947.0,5.9,8.0,401.0,0.9,0.7,15.0,87.66000000000001
195,1717.0,6.0,7.2,106.0,0.8,0.4,15.0,94.0
196,2948.0,5.6,7.9,326.0,1.1,0.8,4.0,93.28
197,2949.0,6.2,8.1,592.0,1.0,0.7,6.0,93.28
198,3383.0,7.2,7.5,119.0,2.3,3.8,74.0,88.38
199,3384.0,7.2,7.5,120.0,2.3,4.1,67.0,88.38
200,3380.0,7.5,7.3,82.0,1.8,2.8,70.0,88.38
201,1632.0,7.5,7.5,111.0,2.4,3.0,506.0,82.75999999999999
202,1428.0,5.3,3.3,831.0,7.7,3.2,36.0,61.800000000000004
203,3369.0,7.2,7.2,56.0,1.7,2.6,42.0,94.18
204,3370.0,7.5,7.2,66.0,1.6,2.5,44.0,94.18
205,3371.0,7.8,7.0,74.0,2.3,4.3,108.0,88.56
206,3375.0,6.7,2.7,1350.0,3.3,1.1,16.0,72.10000000000001
207,3376.0,7.3,6.6,274.0,2.5,2.4,386.0,78.12
208,3381.0,7.4,7.3,67.0,1.8,2.5,55.0,88.56
209,3382.0,7.2,7.4,82.0,2.0,2.8,61.0,88.38
210,3377.0,7.3,7.1,55.0,1.9,2.5,53.0,88.56
211,3378.0,7.3,7.1,57.0,2.0,2.4,50.0,94.18
212,1631.0,6.6,7.1,114.0,2.6,2.8,3108.0,82.75999999999999
213,3379.0,7.3,5.6,56.0,1.8,2.1,34.0,77.68
214,3367.0,5.1,7.0,105.0,3.6,4.7,780.0,72.46000000000001
215,3368.0,7.3,7.1,51.0,1.6,2.4,40.0,94.18
216,3372.0,7.7,7.2,50.0,1.6,2.0,36.0,94.18
217,1633.0,7.6,7.3,115.0,2.1,3.7,528.0,82.75999999999999
218,3353.0,6.2,7.0,81.0,2.4,5.1,79.0,88.38
219,3354.0,7.2,7.1,66.0,1.9,3.4,63.0,88.56
220,3355.0,7.4,7.1,57.0,1.5,2.9,40.0,94.18
221,3356.0,7.5,7.4,144.0,1.7,3.5,59.0,88.38
222,3350.0,7.1,7.1,63.0,1.9,5.6,48.0,94.18
223,3351.0,7.3,7.2,65.0,1.9,3.3,48.0,94.18
224,3352.0,7.3,7.3,65.0,2.0,3.0,54.0,88.56
225,3359.0,1.5,6.9,345.0,33.9,16.9,34251.0,30.040000000000003
226,3360.0,3.9,7.1,233.0,17.0,10.5,22223.0,44.94
227,3361.0,1.0,7.2,376.0,57.2,20.3,83554.0,32.78
228,3362.0,0.9,7.2,506.0,61.1,19.6,106333.0,33.339999999999996
229,3357.0,7.2,7.0,66.0,1.9,3.7,60.0,88.56
230,3358.0,7.7,7.2,62.0,1.6,3.0,59.0,88.56
231,3363.0,7.3,6.9,61.0,2.2,2.0,52.0,85.26
232,3364.0,1.2,7.1,380.0,45.7,15.6,94083.0,33.339999999999996
233,3365.0,3.2,7.1,258.0,23.5,10.3,54083.0,44.94
234,1427.0,7.2,7.2,124.0,6.9,4.5,552.0,73.4
235,3366.0,7.2,7.1,65.0,2.1,2.4,120.0,88.56
236,3373.0,7.5,7.3,64.0,1.9,3.3,42.0,94.18
237,3374.0,7.6,7.3,65.0,1.9,3.8,43.0,94.18
238,2050.0,7.1,7.3,269.0,1.4,0.1,115.0,88.02
239,2051.0,7.2,7.3,275.0,1.5,0.1,68.0,88.02
240,2052.0,6.9,7.1,186.0,1.6,0.1,29.0,93.82000000000001
241,2053.0,6.8,7.1,201.0,1.4,0.2,86.0,88.2
242,1403.0,6.2,7.8,165.0,2.1,0.0,340.0,88.2
243,1404.0,6.4,7.8,158.0,4.1,0.5,500.0,83.52000000000001
244,1726.0,6.6,7.9,210.0,4.2,1.9,572.0,77.9
245,2.0,6.7,0.0,208.0,1.8965,0.516,468.0,71.7
246,1150.0,7.3,7.9,693.0,0.5,1.0,173.0,87.66
247,1246.0,5.0,7.6,1676.0,1.8,8.0,174.0,76.42
248,1865.0,6.7,0.0,506.0,1.8965,6.0,227.0,71.16
249,1434.0,6.0,7.7,1863.0,8.6,1.0,1183.0,72.68
250,1980.0,6.7,7.3,24300.0,1.8965,7.0,24.0,93.28
251,1149.0,5.3,7.8,817.0,2.8,1.0,23.0,87.66000000000001
252,1436.0,4.3,7.8,2307.0,103.8,1.23,1817.0,56.76
253,1860.0,4.5,8.3,1287.0,1.5,11.0,5.0,87.66
254,2082.0,6.7,7.3,183.0,1.8965,0.0,2.0,99.44
255,1148.0,6.8,8.2,1862.0,2.5,0.87,64.0,87.66
256,3205.0,5.0,8.0,183.0,0.7,0.0,468.0,76.96000000000001
257,3204.0,3.0,7.7,183.0,0.4,0.0,468.0,71.34
258,1862.0,6.7,8.1,2520.0,7.2,1.0,41.0,83.92
259,2072.0,8.2,8.4,606.0,2.9,0.0,468.0,87.66
260,1861.0,6.7,7.3,183.0,1.8965,0.516,468.0,88.2
261,1399.0,5.6,7.5,41.0,2.0,0.08,13410.0,66.08000000000001
262,1475.0,5.5,6.7,209.0,0.8,0.17,2915.0,70.36
263,3181.0,5.5,7.1,123.0,1.5,0.09,6264.0,77.14000000000001
264,3182.0,5.3,7.3,182.0,1.5,0.08,3080.0,76.96000000000001
265,1400.0,6.0,7.6,100.0,1.2,0.17,6086.0,82.75999999999999
266,1476.0,5.7,6.9,111.0,1.0,0.14,3061.0,73.84
267,3185.0,6.4,7.1,140.0,1.1,0.1,7908.0,82.75999999999999
268,3186.0,6.2,7.8,44.0,2.0,0.06,9320.0,82.94
269,3187.0,6.1,7.6,43.0,1.8,0.06,9554.0,82.94
270,1543.0,7.0,6.9,64.0,1.1,0.09,2841.0,79.64000000000001
271,1548.0,6.6,6.5,62.0,1.0,0.14,7190.0,73.04
272,2276.0,7.0,6.8,304.0,2.0,0.49,23867.0,67.5
273,2275.0,7.0,7.0,55.0,1.2,0.66,2813.0,82.94
274,3189.0,6.3,7.6,213.0,1.5,0.06,7069.0,82.58000000000001
275,1546.0,6.7,6.8,83.0,1.2,0.17,3559.0,79.46000000000001
276,2270.0,7.1,6.6,76.0,1.0,0.12,3527.0,72.86000000000001
277,2272.0,6.7,6.6,107.0,1.3,0.22,3757.0,72.86000000000001
278,1545.0,7.2,6.7,89.0,0.9,0.06,1996.0,76.16
279,2274.0,4.2,6.7,192.0,2.0,0.16,9286.0,64.74000000000001
280,2271.0,6.3,6.6,79.0,1.6,0.19,6054.0,72.86000000000001
281,2273.0,5.6,7.7,142.0,1.7,0.14,3644.0,77.14000000000001
282,3183.0,2.8,6.4,424.0,3.2,0.35,21036.0,21.520000000000003
283,3184.0,5.2,7.1,306.0,2.6,0.34,1525.0,76.42000000000002
284,3190.0,5.6,7.7,40.0,1.5,0.07,7130.0,77.32000000000002
285,3191.0,5.5,7.7,40.0,1.5,0.08,12282.0,66.08000000000001
286,1547.0,6.9,6.7,63.0,0.9,0.21,1132.0,76.34
287,3188.0,6.3,7.6,227.0,1.7,0.08,3612.0,82.4
288,1544.0,7.1,6.6,68.0,1.1,0.13,8167.0,73.04
289,2651.0,6.9,7.7,121.0,3.3,1.0,163.0,83.7
290,1461.0,7.2,8.2,112.0,3.3,1.0,94.0,83.7
291,2653.0,6.9,7.7,103.0,3.7,0.57,103.0,83.7
292,2654.0,6.9,7.6,104.0,3.5,0.75,79.0,83.7
293,1092.0,6.4,7.4,1003.0,4.3,2.89,753.0,77.36000000000001
294,2670.0,6.3,8.3,408.0,2.7,1.58,157.0,87.66
295,1152.0,6.7,7.8,105.0,3.6,1.0,89.0,83.7
296,2198.0,6.3,7.6,209.0,4.4,1.86,98.0,83.52000000000001
297,2671.0,5.9,7.6,13768.0,5.0,1.79,300.0,77.36
298,2672.0,7.3,7.7,86.0,3.2,1.0,93.0,83.7
299,2168.0,3.6,7.4,6487.0,30.5,1.5,745.0,55.82
300,2676.0,6.3,8.3,999.0,3.3,1.78,112.0,82.98
301,1151.0,7.2,7.7,125.0,3.3,1.0,89.0,83.7
302,1462.0,7.1,7.5,127.0,3.4,4.4,63.0,83.7
303,2685.0,7.1,7.4,5300.0,38.0,1.0,667.0,72.68
304,2686.0,7.2,7.6,127.0,3.2,1.0,51.0,83.7
305,2687.0,7.0,7.6,126.0,3.3,1.0,63.0,83.7
306,2688.0,7.2,7.6,126.0,3.4,1.89,64.0,83.7
307,2689.0,7.1,7.8,112.0,3.2,0.63,88.0,83.7
308,2199.0,6.8,7.7,9590.0,3.6,4.57,124.0,82.98
309,2701.0,6.8,7.4,174.0,3.7,2.26,124.0,83.52000000000001
310,2702.0,6.8,7.6,2572.0,3.3,4.22,118.0,82.98
311,2703.0,6.7,7.8,6030.0,4.4,4.78,138.0,82.98
312,2704.0,6.8,7.7,7207.0,3.9,4.25,120.0,82.98
313,2706.0,6.8,8.1,167.0,3.8,1.0,85.0,83.52000000000001
314,2707.0,6.8,8.0,173.0,3.5,1.0,98.0,83.52000000000001
315,2708.0,7.0,8.0,168.0,3.6,1.0,83.0,83.52000000000001
316,2709.0,6.9,7.9,131.0,3.5,0.75,96.0,83.7
317,1094.0,7.0,7.6,125.0,3.5,0.6,63.0,83.7
318,2162.0,7.2,7.5,132.0,3.3,0.9,88.0,83.7
319,2712.0,7.2,7.7,119.0,3.3,1.0,68.0,83.7
320,2164.0,6.9,7.5,159.0,2.8,1.0,82.0,88.2
321,2713.0,6.7,7.7,141.0,3.3,3.0,90.0,83.7
322,2714.0,7.3,7.7,132.0,2.9,2.0,88.0,88.38
323,1342.0,6.4,7.3,76.0,1.7,0.62,788.0,82.75999999999999
324,1443.0,6.0,7.1,85.0,1.7,0.53,538.0,82.75999999999999
325,3465.0,6.3,7.1,69.0,1.3,0.57,593.0,82.94
326,3466.0,6.5,7.3,76.0,1.6,0.55,545.0,82.75999999999999
327,2297.0,6.7,6.6,60.0,1.2,0.34,435.0,78.66000000000001
328,2319.0,7.0,6.6,3544.0,1.5,0.37,435.0,77.76
329,2286.0,6.7,7.3,51.0,0.8,0.35,1567.0,82.94
330,2331.0,6.9,7.7,107.0,0.7,0.46,443.0,88.38
331,2332.0,6.7,7.9,173.0,0.9,0.56,426.0,88.2
332,1154.0,5.6,6.9,126.0,1.2,0.67,990.0,73.84
333,20.0,7.3,7.4,70.0,0.8,0.31,4208.0,82.94
334,21.0,6.9,7.4,12754.0,0.8,0.29,2557.0,82.03999999999999
335,3464.0,7.1,7.4,80.0,0.6,0.5,2831.0,82.75999999999999
336,1572.0,7.2,6.9,62.0,1.3,0.11,150.0,85.26
337,1573.0,3.4,6.7,2965.0,2.3,1.11,1236.0,58.580000000000005
338,2295.0,6.1,7.2,15871.0,0.9,0.25,2975.0,82.03999999999999
339,1564.0,6.4,7.2,120.0,1.9,0.77,618.0,82.75999999999999
340,2287.0,6.2,7.2,7448.0,2.0,1.01,483.0,87.66
341,1566.0,6.6,6.9,77.0,1.6,0.29,756.0,79.46000000000001
342,2293.0,6.8,7.0,72.0,1.7,0.2,785.0,82.94
343,2337.0,2.9,6.7,305.0,2.2,1.28,1623.0,47.34
344,2338.0,3.0,6.6,86.0,2.0,0.39,1319.0,56.00000000000001
345,42.0,6.7,7.1,79.0,1.6,0.34,738.0,82.75999999999999
346,2294.0,3.6,7.3,32790.0,2.6,0.59,112867.0,53.94
347,3460.0,6.1,7.8,2905.0,1.3,0.54,997.0,82.03999999999999
348,3458.0,6.9,7.4,112.0,0.5,0.35,67.0,88.38
349,1571.0,7.0,6.9,51.0,1.1,0.18,317.0,85.26
350,1155.0,3.1,7.2,1416.0,13.2,4.41,19917.0,44.58
351,3471.0,7.0,7.1,30.0,0.5,0.32,496.0,88.56
352,2289.0,6.1,7.0,59.0,1.8,0.58,282.0,88.56
353,2301.0,6.0,6.4,61.0,2.1,0.28,300.0,72.06
354,2291.0,6.3,7.0,105.0,2.8,0.37,543.0,82.75999999999999
355,2326.0,6.9,8.1,502.0,0.9,0.72,615.0,82.03999999999999
356,1569.0,5.9,6.7,14662.0,1.5,0.52,377.0,75.44
357,2298.0,7.8,6.8,49.0,1.4,0.3,319.0,85.26
358,1567.0,7.1,7.4,380.0,1.0,0.14,66382.0,70.8
359,1568.0,7.3,7.2,67.0,0.9,0.38,3471.0,82.94
360,2285.0,6.2,7.2,51.0,0.8,0.23,942.0,82.94
361,1340.0,7.2,6.8,69.0,1.2,0.45,941.0,79.64000000000001
362,1384.0,6.9,6.7,75.0,2.5,0.4,701.0,76.34
363,3459.0,6.3,7.4,113.0,0.6,0.88,128.0,88.38
364,2307.0,7.6,6.8,79.0,1.6,0.31,109.0,85.08
365,1339.0,7.0,7.2,57.0,0.6,0.46,3558.0,82.94
366,2304.0,5.9,7.0,22576.0,1.5,0.35,253.0,82.04
367,43.0,6.8,7.2,105.0,0.6,0.39,2392.0,82.75999999999999
368,2302.0,6.3,6.7,2315.0,1.3,0.17,278.0,81.06
369,1570.0,6.4,6.9,18569.0,1.0,0.27,277.0,84.36
370,1563.0,6.6,7.3,45.0,0.6,0.39,940.0,82.94
371,2284.0,6.9,7.2,42.0,0.5,0.18,774.0,82.94
372,2288.0,6.0,7.3,92.0,1.7,0.56,597.0,82.75999999999999
373,1156.0,6.1,7.2,59.0,0.7,1.04,311.0,88.56
374,1341.0,4.5,6.9,1190.0,0.7,1.17,388.0,73.12
375,1565.0,4.2,7.0,69.0,0.6,1.04,420.0,77.32000000000001
376,17.0,6.0,7.0,5569.0,2.2,0.68,1894.0,82.03999999999999
